image_name,tweet_translation,sms_translation,sms_language,topic_label
Ektn83mXYAcS3j2.png,"Il falso sms che invita all'isolamento  https://t.co/nQvCCYfOY4 #20ottobre #COVID19 #COVID19italia #infosec #itsecurity #CyberSecurity #sms #phishing #cybercrime
#smishing #scam #cyberattacks #dataprotection #ContactTracing https://t.co/HCmUk2Huym",SWISSPT Someone you contacted has tested positive for coronavirus or has shown symptoms. Self-isolation is invited. Important instructions: http://tinyurl.com Zy8ufsnp,it,phishing-covid
EPQIFfRXkAEFy3z.jpg,"@IncomeTaxIndia  Received an SMS from 29487767 "" the Incometax Department requires you to click http://188.214.30.217/ITRefund to submit a formal request for the payment of your overdue tax-refund of 19,700 INR."" 
I believe this is a fake and phishing message. Please confirm. https://t.co/EHogJlsIEf","Dear ADITYA TIDKE , the Incometax Department requires you to click http://188.214.30.217/ITRefund to submit a formal request for the payment of your overdue tax - refund of 19,700 INR .",en,scam-tax
EuCTlqKU0AQ-_pm.jpg,@aduanBRTI Here is the number by sending spam sms https://t.co/UIk8FmhPOY,"ssyqx , yth , app ! thanks pjmn ¡ n tlh d ! s2approve on 9 / 02 , k1 ! k : sk2.un8.co 4fa.ux9.co 8dr.x8i.co 164.cy9.co r9n.do9.co pp3.r8i.co y00.f0.is ztm.cjo.co th5.pjo.co",id,spam-other
EThjip_UEAAN9jG.jpg,@kemkominfo @Telkomsel @simPATI do you still need spam sms almost every day? Really annoying https://t.co/vutgSCNoAf,"PHONE PACKAGE Super SAVE! Activate the TALK MANIA package, Talk Quota 40 Min. prices start from Rp. 2250. Call * 999 # or the MyTelkomsel application immediately. S &amp; K",id,spam-promo
E2Y6r71XEAEAAbS.jpg,Attention @mossos and @policia I receive an SMS phishing attempt. PF alert population. MESSAGE FROM 21675. Put; Sabadell. And that account number is a link. https://t.co/J3mh6EU4CU,Sabadell. Pending charge of 70.79 EUR from Serveis i Mantenimiento in the account. * 03066 due to insufficient balance. You have until 1:00 p.m. on 05/27 to check-in.,es,scam-financial
Efz6pajWsAIL3l4.jpg,@actionfrauduk @EE @Apple is there no way to stop these SMS phishing scams? https://t.co/4nOuUTvKLJ,"Apple : Account temporarily restricted . To fully restore your Apple ID services , please visit https : //apple.com.submit userdata.services , to confirm your details",en,phishing-account alarm
Eh-aHn9WsAElm35.jpg,"Beware! Phishing SMS from someone pretending to be @Rabobank . Well recreated, so beware don&#39;t log in. https://t.co/ikpFFHGrnQ",[ Rabobank ] : Your debit card is outdated and will expire in 2 days. Request the renewed debit card for free via: https: // application - rabo -nl.info/Rabobank/inloggen,nl,phishing-credit/debit card
E2Yl8k4VkAAniWf.jpg,@aduanBRTI please process. SPAM SMS https://t.co/Oew1UxELJp,"-LEAS 1.NG OFFICIAL -PAID LETTER MO.BIL / truck Rate 0,8 % / month Tk.Over OK Dbntu Up to LIQUID PnLiquid fast n easy GERRY 081210015656 bit.ly/2DyzOVU",id,spam-loan
ERoeZhCU0AAad_X.jpg,This is again.. every day you will definitely get spam sms.. #smspenipuan #smssampah #spam https://t.co/YnITxiRBHS,"kszp bn ! who gave 10.5 million, please download the received leaf better : https://tagx.pw/1509/4STV66F",id,scam-financial
EMW5DXJU4AIne6y.png,"Just got this SMS on my personal phone (my name is Dana), so I replied appropriately. @MikeBloomberg who are you buying phone lists from to spam? The dark net? #Bloomberg2020 #SpamSpamSpam https://t.co/QIkmxWcDbK","Hi Tarrita -- this is Jade with Mike Bloomberg for President . Are you considering voting for Mike in the March 3 , 2020 CA primary election ?",en,spam-vote
EeAVReQWAAQCLLd.jpg,"&quot;A login to your home banking from a new device has been detected&quot;: Beware of SMS like this, these are phishing attempts to steal sensitive data. The Postal Police advises not to click the link. Are there any other reports? #chilhavisto https://t.co/eZICC7qr58",An access to your home banking from a new device has been detected if it was not you follow the restore link https: // gruppo-sp.com,it,phishing-account alarm
EWSMRpnXYAAos8B.jpg,Fraud sms take action @PaytmCybercell @AhmedabadPolice @GujaratPolice @dgpgujarat https://t.co/ZtnTHLetK3,Dear Customer Your PYTMK CY has been expire today please call customer care no 8513964435 your PYTM has been block 24hrs THANK YOU PYTM TEAM,en,fraud-account alarm
EX85RGyX0AAc_xM.jpg,"@Paytmcare Hi, Please see the spam msg just received.
Similar msg i receive almost every 2- 3 months which i report to you .
Why don't you get their special SMS code cancelled? https://t.co/i5V9JKSEF1","Hello Customer , Your PAYTM Account is expired & Blocked Today . Please Complete Full Verification Call Customer Care : 6205638654 Regard , PAYTM Team",en,fraud-account alarm
EG7aWJZXUAAYI07.jpg,I am once again the target of a #Phishing via SMS attack. Does anyone know how to block these messages? https://t.co/iXgX23U17T,"Post Office Dear customer, your package could not be delivered on 10/11 because customs fees (€ 1) have not been paid. Follow the instructions: http://4hy.me/uOND8",es,phishing-delivery
E3w4x4rVcAERZAr.jpg,@DCP_CCC_Delhi Sir would like to report phishing sms. Attaching the screen shot https://t.co/mCCQ5rhtjQ,Dear customer your SBI A / C has been Suspended . please update your KYC Click here link submit your details http : // 9783de79117b.ngrok.io/ sbibank,en,phishing-account alarm
EvvF1pfWgAArASg.jpg,"@RoyalMail I have received a SMS 
Can I assume it is not from you and is a scam?  I have nothing due to me.  Obviously I have not opened it and have blocked the number. https://t.co/Y9NoBgEsnK",Your Royal Mail parcel is awaiting delivery . Please confirm the settlement of 1.99 ( GBP ) on the following link : https : // idparcel - updates .support / Royal Mail,en,scam-delivery
D2gXwm3WkAAhbNj.jpg,"Now who are we going to report this #spam SMS to? 😪 I have nothing to do with the AKP or the minister from afar. And how do you find my number - legally(!) - ?.. Nice, even the commercial SMS we complain don&#39;t work at all, they don&#39;t even bother to answer #bimer #btk #tiss https://t.co/JqP3PK2fAD",Hope to meet you at the Press Card Program which will be broadcast live on TRT HABER today at 21:30.,tr,spam-vote
E4AIe28VkAUximQ.jpg,HELLO TELKOMSEL @Telkomsel HOW DOES IT ALWAYS GET SPAM SMS HOW CAN YOUR TELEPHONE NUMBER CAN ACCESS THIS UNKNOWN PEOPLE WHAT&#39;S THE STORY YAAAAAAAAAA EVERY DAY LOOOOH!!!!!!! https://t.co/HIQEpTKXcy,Slmat! Selected for Rp.35 million from GiveAway Baim Faula Code: 001498788 at bit.ly/ 3wEJINV Ch4t WA: bit.ly.l. 6285336924723,tl,scam-prize
EjuvfJDVgAE6tX6.jpg,"@aduanBRTI please block the number that sends the SMS Spam requesting this money transfer along with the account number listed in the SMS. Thank you. Regards, Valentino Halim https://t.co/zd2qvV1IEQ",This is his account number 0213717399 BANK BCA A / n DEWI SUSANTI,id,scam-financial
ESrKKAPX0AEJUGJ.jpg,"Fraudsters targeting people who are affected by the collapse of Flybe. The scam message (below), sent by email or SMS, appears to be from NatWest providing a link to a fake website to claim money back. Contact your local police station, Action Fraud or the Office of Fair Trading. https://t.co/aBHEMfvQkl","Hello As you will be aware Flybe have gone in to administration . If you are affected by this and paid using one of our Credit or Debit cards , please visit our website natwestinternational.com and click on ' find out more in the Flybe banner for more information and guidance on how we can help you make a claim .",en,scam-credit/debit card
ESbnHcLUUAAYzVO.jpg,Never in a million years bruh. Also remove my number from your spam sms directory. https://t.co/Og5h70B3OP,"Assalam Alaikum, Alhugandu Male&#39;City Mayor kamah kurimathilaifin. Male &#39;ah kurierumaa tharaggee genaumah alhugandah vote dhevvun edhen. Shukuriyya Muizzu, C.No.1",sn,spam-vote
EOi_f_dU8AAWQ10.jpg,"Message received regarding expired KYC today.Clearly a fraud as i do not have any dealing with Kotak Mahindra in any form. Snapshot of sms so that bank can takeup appropriately,to prevent any customer falling in trap @KotakBankLtd @udaykotak https://t.co/kPuz9t4vff",Dear Kotak Mahindra Bank KYC has been expired Contact customer care no 8478084571 immediately call now your account will be blocked within 24 hour,en,phishing-account alarm
E3qZT84WEAIiv3c.jpg,@Cyberdost @MahaCyber1 Pls check this fraud SMS. Thank you 🙏✌️ https://t.co/Eu7VJ8zlyi,"Your Paytm amount Rs . 34,939 is credited to 9757464456 Download and Register now d1m.in/qrsd61",en,scam-financial
Ezqq-IvWEAsyXF2.jpg,"@Hermesparcels @actionfrauduk  @TakeFive 
Fraudsters using fake Hermes delivery SMS messages to scam peeps again🙄
Be on your guard everyone! https://t.co/v6432fLTwR",Hermes : Oops we missed your delivery today . To book a redelivery please visit https : // myhermes.ref791.com Your parcel will return to sender if unpaid .,en,scam-delivery
Esjd0AUW8AAHvxQ.jpg,"@telenorpakistan 
Another fraud sms on telenor network

My number is 03455566415 https://t.co/TV9fqIS7uA","Rs 2,000.00 on CNIC : 3430252131356 sent from Easypaisa Biometric Agent.fatma bibi TID : 007835273921",en,scam-financial
EUYEWzPX0AAdESb.jpg,"#Scam alert by #sms ... More unscrupulous people trying to take advantage of #coronavirus ... SMS received in the afternoon. Between the French language and the placeholder not even filled, it smells like the site has been torn apart ... Do not fall into the traps of scammers on the lookout ... https://t.co/x1XLdKDBQs",Breathing masks are available at https: // pharmacy -auvergne.com/ Free delivery throughout France (3-4 working days) STOP at 36976,fr,scam-covid
EPwL0M0X0AAzYLf.jpg,@ingnl ongoing phishing campaign via sms https://t.co/AaXHWPA83q,ING : You logged into your internet banking from an unusual location on 02-02-2020 ( 01:07 ) . Your account has been temporarily deactivated as a result. Confirm your Home Banking via: https: //verificatie.environment-procedure.online and prevent blockage.,nl,phishing-account alarm
Du6_a_sX4AEjxqi.jpg,"Targeted user for fraud, till user order details leaks from Ecommerce websites @snapdeal , have to punishment who are leaks user data from the database. Fake sms and calling from number detail attached, lots of people without verification trust them. @CIDWestBengal @WBPolice https://t.co/ztX0X1rBTT","Welcome to you Snapdeal online shopping pvt Ltd.co. Dear sir , Congratulation your product ordered . home shopping result are out your name has selected in the luckky draw.you have two options 1 st is Tata safari 2nd is Payment of Rs 12,60000 / - The charge of ( REGISTRATION ) Service is RS - 8500 / - The charge of TR paper charges only RS - 12600 / valid upto 21/12/2018 for more details contact us at 07484946511 details 24X7 Toll free no , 180030109389 2 SMS 9:14 am",en,scam-financial
Dwb8OFfVYAERQUj.jpg,@aduanBRTI please block. Spam sms. Thank you. https://t.co/cd11fQPtVO,Fast Cash Fund.. Pawn BPKB Car / Truck - Cashback 2 million - Official Leasing - Can T.Over NISSA 082211474746 Wa : bit.ly/infoAgunanBPKB,id,spam-loan
EQrdJlZWkAIwIZ9.jpg,"@ingnl There is another phishing SMS in circulation, it seems https://t.co/RmH1tNjwjl","ING BANK : Dear customer , the new year means a new card . Request your new debit card completely free of charge before February 15th via: https://cutit.org/XzOnm",nl,phishing-credit/debit card
DxqyKaOW0AAkgUF.jpg,"Hello @BBVA_esp, piece of phishing attempt that is arriving by sms, be careful .... https://t.co/kkzPZki542","MBBVA ALERTS! We inform you that you have received a transfer in your favor, we invite you to confirm to access your BBVA online on the web: www.BBVAc.es",es,phishing-financial
ECo24lgUwAAxpma.jpg,@cars24india @TRAI @vikramchopra Cars24 least care how they treat people once they get your number. Mental trauma and agony starts after that. They do not even care for the rules and guidelines laid by TRAI.DND is just an eye wash. Another spam sms from them. https://t.co/neQYI2fB6G,Get your CAR INSPECTED for FREE today and know the best price for your car @ CARS24 https://bit.ly/2HQmOk4,en,spam-promo
EFJ92oUVAAE2yKm.jpg,"It&#39;s crazy, there are people who really intend to scam Apple/iPhone users. This afternoon I got an sms like this https://t.co/rAPodVx2Hl","Your Apple ID has been locked for security reason , please visit : https : // idapplecs.page.link )  . CS910381003 and verify your self .",en,phishing-account alarm
D1cVdg4X0AE4CaJ.jpg,"The company named @ETicaretNet sent spam sms using the spam advertising message &quot;Pacific Telecom&quot; subtype. B231 This spammer is kneading his company with spam, not with love, while producing their software. I wonder what the name of the software produced by the spammer company is #Proticaret @BTKgovtr? https://t.co/fpoN3zfaLV","Unlimited E-Commerce, hosting, SSL, Fixed IP, TEMA, Virtual Pos, Live Support all in one. 1000TL Instead of 2500TL https://bit.ly/ 2u9Vip7 For cancellation RDX PRT 4609. B231",tr,spam-promo
ERzML_AWAAICB_t.png,I got my first SMS/text spam. I guess @NAPAKnowHow is into SMS spamming now? https://t.co/93Bf3JitkK,"Today , 11:33 AM 1 of 2 FRM : NAPA AUTO MSG : Don't you wish to earn more than 400 $ extra income weekly Why delay ? Get  started by applying our sticker on your ( Con't ) 2 of 2 vehicle to start getting paid . Send  YES for details now ( End )",en,spam-promo
EaYkfjkU8AAPBE5.jpg,"@myXL hello mab mas XL, this is just a top up, I just swallowed my saliva once, I&#39;ve used up 5 thousand pulses! Haven&#39;t used it yet to call/Sms a lover, wooooooy, there&#39;s a lot of spam like this! https://t.co/WdnPcLXTgl","HONDA ADV to bring you back NEW NORMAL! type POIN BOLA to 96989 Now , Poin km 110 http://bit.ly/2Pyh2Yw CS : 087878890174",id,spam-promo
D2gV2nlUgAAKPLw.jpg,"@zarazettirazr @Telkomsel It seems that all providers in Indonesia can&#39;t control spam and fraud, I use XL and Telkomsel numbers, this is my XL number, I&#39;ve registered for premium sms even though I never registered/reply sms or clicked any ads https:// t.co/Y406KCZAwM","Sorry , you are already registered with Mesra 3sms / week 3300 / sms service . 168 million REWARD at * 123 * 565 * 1 # FREE Kepo 3hrs, continue 2200/3hrs",id,spam-promo
El9ZnGJUYAEr6kx.jpg,"police r u taking any action on this of Scam by fraudster? last time i reported here on Oct 09th and now again for second time i.e.,Nov 04th i  Received this Via Normal SMS. Please look into this...
@CyberCrimeRck
@CyberCrimeshyd
@cyberabadpolice
@cpcybd
@hydcitypolice
@CPHydCity https://t.co/z7D6NzOb18",we are finding one fraud ( chorr ) person name- V Bhanu Chander have taken moneed company loan and overdue by 300 days .Father name is veeramalla srinivas . please tell him to pay moneed loan and police is finding him call 9866969789 Receive from SIM1 Cellone 10:30 AM,en,scam-financial
EpXXThGUYAI1vx7.jpg,-rek ono smsed people spam and didn&#39;t reply to the last word e &quot;please immediately surrender to the police*&quot; https://t.co/wcPnLYskDV,"Good evening , you become a suspect of embezzlement of company money . Your number is currently being tracked by the police. Please soon",id,spam-promo
Ecel8vuXsAEg6Yp.jpg,Eye friends of @EuronicsItalia who are back to shoot these sms #spam #Euronics https://t.co/RhCmqjXvvG,We have tried to contact you. You are the 2nd winner of our lottery: 1) Luana 2) Giordano: your prize: www.bhb.life/i4/? n = 170405445,it,scam-prize
Dp7LtvTXgAAiOzs.jpg,First time a spam SMS asked me how I am. Feeling overwhelmed. https://t.co/PrN6L7Fg4Z,"Hi , How RU . FY / SY / HSC Failed . Don't Worry . Complete TY in 3-6 Months.BA , BCOM , BBA , BCAM BA , MCA , M.TECH , B.ED . 100 % Success . Authorised University.Cal Uday - 9653699116",en,spam-promo
Ew06IPTUYAYbAS0.png,"From last year, look for Pn Juliati, xsure scam to what 🤣 ... sbb xpernah know spe Juliati ni 🙄🙄🙄 sms is not normal ... there is no way to report scammer cmni https://t.co/Qjs5lLWZ21","Tn / Pn JULIATI BINTI JUSOH , we still havent received the pymnt for your TM final acc U600323215510 RM868.25 and TM will initiate legal action . Call 0162164679 for info . Pls dsrgrd msg if pymnt has been made .",en,scam-financial
D-BkLN1U4AAQAPJ.jpg,"Oh thanks @UnitedAusParty, now spammers have caught onto your sms marketing idea. I don't care if it is irrational to blame you. For me, you did it first. #spam https://t.co/tRU1VMqdak","Selected as winner of £ 6,500,000 on BET365 Promo . Go to www.na65.net to claim .",en,scam-prize
EoGR7IxXUAU7xZQ.jpg,"On International #ComputerSecurityDay we learn that, unfortunately, false messages are circulating again. An unexpected text message gives you a corona premium of € 325? Unfortunately, this is #phishing or #smishing. We give 7 tips to arm you: https://t.co/ITzKl1RXsq #digitaletoekomst https://t.co/eqEuQTI5Mm","[ CSAM ] After several reminders , your СOVID - 19 crisis compensation of € 325.86 has not yet been used . You are entitled to this, so verify your data once before receipt via: https://s.id/vo4qd",nl,scam-covid
EtYSMq6VgAIcbjn.jpg,Spam sms has dared to call names. Wow. My data is leaking. Can the number be traced? Hmmm https://t.co/8BLHsTacpw,"Dawn, take a look at this photo, do you still remember who is standing on your right? chat-v.com/s/d4d8g6",id,spam-other
El-Vaf7VoAA_oLw.jpg,"@Telkomsel @kemkominfo Afternoon..... I used to often get sms messages which were very annoying for me, lately I have been getting a lot of strange sms spam messages on my smartphone, here I attach it..... https:/ /t.co/YGLM6Ds4Dw",SERVING PESUGIHAN TAMPAHTUMBAL Magic funds Pellets &amp; witchcraft Fetal transfer Asmarah ETC You can contact: wa: 085244848757 or click: bit.ly/pesugihanuuang,id,spam-promo
ECh3bx1WkAMLZBe.jpg,SMSaduanBRTI SMS spam https://t.co/0WAQ1IBxEX,Announcement .. ! Congratulations No. You enter the category get Cash Amount of RP 200 million from (Pt L @ Z4D4) ID PIN: LZD4389 INFO ID Click www.jutawan-lazada.ga,id,scam-prize
ESq6tUkXkAcMoP9.jpg,wtf! Phishers getting more cunning! Delete your sms or whatsapp message! #trapernietin #thieves #scammers #phishing #hackers https://t.co/PckoKyatwO,We have placed your account in the &quot; quarantine zone &quot; . You must confirm your device before 11-03-2020 to avoid blocking : https : // mijn.Ing.nl.id113.website/,nl,phishing-account alarm
DzRisvNUwAAr7aX.jpg,@aduanBRTI please block this spam sms https://t.co/DqyRByCiHe,"Pawn BPKB Motor / Car / Pick Up / Truck Fast, Safe &amp; Can Take Over Interest Starting from 0.86 % &amp; Non BI Checking YUSUF INFO : 085691651516",id,spam-loan
E3Gn6-MVUAEY-Re.jpg,"⚠ CYBER FRAUD SMS message alert ~ @airtelindia @Airtel_Presence @Cyberdost @DCP_CCC_Delhi
@CellDelhi @DCPSouthDelhi

Request you to pls investigate and take action against cell # 9931820116 and tel # 8001104837. See attached image. Thanks. https://t.co/2loNiQ0bbS","Dear customer your Airtel sim Number has been b - locked for 24 hrs please Ekyc Update submit Addhar Card Today please call customer care : 8001104837 im , mediately 12:37 PM",en,scam-account alarm
EuinqndXEAEIueK.jpg,"I got this message yesterday, clearly a phishing attempt. In addition, people close to me have also received the exact same SMS. Have you received it? https://t.co/V2uLCCMs0Z","FedEx: Your shipment is about to arrive, track it here: http: // lamanofestival.com/fedex/? kdrytkito 6",es,phishing-delivery
DSmXGyiU8AAII5y.jpg,"to @Pegadaian please stop spam promo sms to my number, I am NOT a CUSTOMER and this has been the number of times INTERFERING MY PRIVACY, PLEASE STOP IT OR I REPORT IT TO @YLKI_ID OR OTHER MEDIA THANK YOU https://t.co/JZXsGayENW","Dear Pegadaian Customers, Need Business Development Funds &amp; Farmers Rent Capital Only 0.95% Per Month Easy, Fast &amp; Safe Info: Nearest Pawnshop 082244443333 (Arum) 14 min. via TELKOMSEL",id,spam-loan
EriqFWBXAAYSOTM.jpg,@ABNAMRO here&#39;s another phishing text message. I didn&#39;t click the link! https://t.co/coy5rX6pBy,[ ABN AMRO ] : Your current debit card will expire before use . Request the renewed debit card for free now and prevent blockage via: https://bit.do/ ABNAMRO - NL42,nl,phishing-credit/debit card
EUWUv08XYAAQINn.jpg,good from SMS scams or phishing now. attention to you doctors ... https://t.co/ZY2ez4u2I7,"Hello +336 За received an urgent request for an appointment on March 30, click here bi to listen and respond quickly",fr,scam-other
D-ZxQmSXkAEFxjx.jpg,"@CJIBnl Received this phishing text message today, stating the phone number. Perhaps you can do something with this phone number. I&#39;m throwing this text away. https://t.co/qS2DXwVxKH",You still have an outstanding claim with reference : 47092 of EUR 393.81 . Pay today via IDEAL : linksplit.io/cjib47092,nl,scam-financial
D1dCPQEXcAE_y77.jpg,@Rabobank phishing sms in circulation? I&#39;m not even a customer... https://t.co/QQdxxmxrVW,"Dear customer , Your debit card will expire within 2 days . Prevent blockage and request a replacement pass free of charge. Avoid blocking! click here rabobankpas.nl",nl,phishing-credit/debit card
D0IY7d8VYAAgTxH.jpg,@aduanBRTI please follow up on spam sms according to this capture. https://t.co/7fx6aVNqj1,"Borrow a little, get big money! Ksami is at your service, download and register.click bit.ly/ 2WsuNYB",id,spam-loan
ECdfULdUYAAZNHX.jpg,"3. Phishing method via SMS/email - don&#39;t send an email to tell you you are involved in a crime, this is only effective for phone calls. You open your email once every 5 years, it doesn&#39;t matter 😅 So don&#39;t &#39;represent&#39; as a big organization, I want to give you attractive rewards. https://t.co/wi7PSqUs6s","RMO. Congratulations! Thank you for being our loyal customer. As a reward, you are eligible to redeem the gift of a Perodua Axia car for selected users! Please visit bit.ly/ for more information.",ms,scam-prize
EgCZ_8lXgAEQW0k.jpg,"@ee another spam sms came through - reported it to ofcom, but 7726 doesn't work for me. https://t.co/JWyrtfvEgY","MyEE : We were unable to process your latest bill . In order to avoid fees , update your billing information via : https://ee.billing-infoverify.com/ account",en,scam-account alarm
DuXe7lmX4AAMl4D.jpg,"Received SMS from @ingnl, where I am not a customer. So #Phishing. https://t.co/2cJdtPXSRK",Your ING app has been blocked for security reasons. Click on the link to access ingbankieren.org/ ? 316184,nl,phishing-account alarm
EOyWCmyX4AA07cI.jpg,#Paytm #Fraud SMS https://t.co/0wZ2TlxCEx,PAYTM Dear paytm customer your KYC has been suspended.Paytm office pH 6295957449 call immediately.Your account will blocked within 24 hours.Thank you paytm team,en,scam-account alarm
Eq08GvDXUAMhnpD.jpg,FRAUD FAKE CORONOVIRUS SCAM SMS TXT TO STEAL YOUR BANK DETAILS FOLKS . ITS NOT GOVERNMENT ITS FRAUD . https://t.co/4HhDsBGzI8,GOV - UK : We have issued a payment of £ 258.76 to all residents as part of its promise to battle COVID - 19 . Please visit https : // grant - cov -19.com to apply,en,scam-covid
D0oUFj-VsAA9s3z.jpg,"Report lg @aduanBRTI SMS Spam, Fraud, Online Gambling &amp; Fraud. https://t.co/yVFxiWdaPO","Your account has received a quota of IDR 8 million today! Maximum can be borrowed for 109 days , interest free . 1. http://bit.ly/ yomicc2 2. http://suo.im/4qn6q9",id,spam-loan
Di65F_dUYAAQxSB.jpg,I&#39;m really diligent about spam SMS from @HelloDanamon even though I&#39;m not a @danamon customer. @myXLCare @ojkindonesia https://t.co/EVTpC39sfO,"Dear Customer, open a Danamon account and enjoy the convenience of sending money with this service",id,spam-promo
Ehdwz8_UYAEjlLO.jpg,The spam sms is getting more and more magical every day https://t.co/q8UhudYa1G,K4M1 MEN4W4RK4N 1K4N ARWANA SUPER RED Starting from tillers up to size 60cm info WA ; 085220827266,id,spam-promo
Ei2fUKhX0AErpbX.jpg,I appreciate the personalization that went into this SMS scam. My mechanic did once tell me that I look Jewish. https://t.co/VMfrZeXpiW,"Shalom , urgent notice for the USPS delivery 3R58D3 from 05/15/2020 . Go to : sm4x.info",en,scam-delivery
D4c64fxWsAEbsW6.jpg,"Hi @NETofficial. Since you have a bad habit of sending spam by sms, do you hire someone who is not illiterate to write? Kisses https://t.co/5MpyKaZB6s","The new season of Fernanda Souza&#39;s talk show has arrived! Watch this and the previous ones, with celebrities in fun chats. bit.ly/2Gs5ccp",pt,spam-promo
