image_name,tweet_translation,sms_translation,sms_language,topic_label,binary_label
EPQIFfRXkAEFy3z.jpg,"@IncomeTaxIndia  Received an SMS from 29487767 "" the Incometax Department requires you to click http://188.214.30.217/ITRefund to submit a formal request for the payment of your overdue tax-refund of 19,700 INR."" 
I believe this is a fake and phishing message. Please confirm. https://t.co/EHogJlsIEf","Dear ADITYA TIDKE , the Incometax Department requires you to click http://188.214.30.217/ITRefund to submit a formal request for the payment of your overdue tax - refund of 19,700 INR .",en,scam-tax,harmful
Efz6pajWsAIL3l4.jpg,@actionfrauduk @EE @Apple is there no way to stop these SMS phishing scams? https://t.co/4nOuUTvKLJ,"Apple : Account temporarily restricted . To fully restore your Apple ID services , please visit https : //apple.com.submit userdata.services , to confirm your details",en,phishing-account alarm,harmful
EMW5DXJU4AIne6y.png,"Just got this SMS on my personal phone (my name is Dana), so I replied appropriately. @MikeBloomberg who are you buying phone lists from to spam? The dark net? #Bloomberg2020 #SpamSpamSpam https://t.co/QIkmxWcDbK","Hi Tarrita -- this is Jade with Mike Bloomberg for President . Are you considering voting for Mike in the March 3 , 2020 CA primary election ?",en,spam-vote,harmful
EWSMRpnXYAAos8B.jpg,Fraud sms take action @PaytmCybercell @AhmedabadPolice @GujaratPolice @dgpgujarat https://t.co/ZtnTHLetK3,Dear Customer Your PYTMK CY has been expire today please call customer care no 8513964435 your PYTM has been block 24hrs THANK YOU PYTM TEAM,en,fraud-account alarm,harmful
EX85RGyX0AAc_xM.jpg,"@Paytmcare Hi, Please see the spam msg just received.
Similar msg i receive almost every 2- 3 months which i report to you .
Why don't you get their special SMS code cancelled? https://t.co/i5V9JKSEF1","Hello Customer , Your PAYTM Account is expired & Blocked Today . Please Complete Full Verification Call Customer Care : 6205638654 Regard , PAYTM Team",en,fraud-account alarm,harmful
E3w4x4rVcAERZAr.jpg,@DCP_CCC_Delhi Sir would like to report phishing sms. Attaching the screen shot https://t.co/mCCQ5rhtjQ,Dear customer your SBI A / C has been Suspended . please update your KYC Click here link submit your details http : // 9783de79117b.ngrok.io/ sbibank,en,phishing-account alarm,harmful
EvvF1pfWgAArASg.jpg,"@RoyalMail I have received a SMS 
Can I assume it is not from you and is a scam?  I have nothing due to me.  Obviously I have not opened it and have blocked the number. https://t.co/Y9NoBgEsnK",Your Royal Mail parcel is awaiting delivery . Please confirm the settlement of 1.99 ( GBP ) on the following link : https : // idparcel - updates .support / Royal Mail,en,scam-delivery,harmful
ESrKKAPX0AEJUGJ.jpg,"Fraudsters targeting people who are affected by the collapse of Flybe. The scam message (below), sent by email or SMS, appears to be from NatWest providing a link to a fake website to claim money back. Contact your local police station, Action Fraud or the Office of Fair Trading. https://t.co/aBHEMfvQkl","Hello As you will be aware Flybe have gone in to administration . If you are affected by this and paid using one of our Credit or Debit cards , please visit our website natwestinternational.com and click on ' find out more in the Flybe banner for more information and guidance on how we can help you make a claim .",en,scam-credit/debit card,harmful
EOi_f_dU8AAWQ10.jpg,"Message received regarding expired KYC today.Clearly a fraud as i do not have any dealing with Kotak Mahindra in any form. Snapshot of sms so that bank can takeup appropriately,to prevent any customer falling in trap @KotakBankLtd @udaykotak https://t.co/kPuz9t4vff",Dear Kotak Mahindra Bank KYC has been expired Contact customer care no 8478084571 immediately call now your account will be blocked within 24 hour,en,phishing-account alarm,harmful
E3qZT84WEAIiv3c.jpg,@Cyberdost @MahaCyber1 Pls check this fraud SMS. Thank you 🙏✌️ https://t.co/Eu7VJ8zlyi,"Your Paytm amount Rs . 34,939 is credited to 9757464456 Download and Register now d1m.in/qrsd61",en,scam-financial,harmful
