text	label	original_label
hide new secretions from the parental units 	negative	negative
contains no wit , only labored gags 	negative	negative
that loves its characters and communicates something rather beautiful about human nature 	positive	positive
remains utterly satisfied to remain the same throughout 	negative	negative
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up 	negative	negative
that 's far too tragic to merit such superficial treatment 	negative	negative
demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . 	positive	positive
of saucy 	positive	positive
a depressed fifteen-year-old 's suicidal poetry 	negative	negative
are more deeply thought through than in most ` right-thinking ' films 	positive	positive
goes to absurd lengths 	negative	negative
for those moviegoers who complain that ` they do n't make movies like they used to anymore 	negative	negative
the part where nothing 's happening , 	negative	negative
saw how bad this movie was 	negative	negative
lend some dignity to a dumb story 	negative	negative
the greatest musicians 	positive	positive
cold movie 	negative	negative
with his usual intelligence and subtlety 	positive	positive
redundant concept 	negative	negative
swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . 	positive	positive
equals the original and in some ways even betters it 	positive	positive
if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . 	positive	positive
a smile on your face 	positive	positive
comes from the brave , uninhibited performances 	positive	positive
excruciatingly unfunny and pitifully unromantic 	negative	negative
enriched by an imaginatively mixed cast of antic spirits 	positive	positive
which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening 	negative	negative
in world cinema 	positive	positive
very good viewing alternative 	positive	positive
the plot is nothing but boilerplate clichés from start to finish , 	negative	negative
the action is stilted 	negative	negative
on all cylinders 	positive	positive
will find little of interest in this film , which is often preachy and poorly acted 	negative	negative
by far the worst movie of the year 	negative	negative
sit through , 	negative	negative
more than another `` best man '' clone by weaving a theme throughout this funny film 	positive	positive
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline 	positive	positive
heroes 	positive	positive
oblivious to the existence of this film 	negative	negative
sharply 	positive	positive
the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . 	negative	negative
sometimes dry 	negative	negative
