text,label,original_label
KILL THEM ALL PUT THEM HOES TO REST WALK IN BULLETPROOF VEST,harmful,toxic
Damned vietnamese crackers defiling the Ming dynasty,harmful,toxic
California would be a better place without all the dirty mexicans,harmful,toxic
For that you're catching additional charges of aggravated faggotry which carries the death penalty,harmful,toxic
"Slapping an unconscious girl, who's the real o-3 pussy",harmful,toxic
"Good'o Amalekites, those fucks killed and slaughtered our people too, that tribe were some nasty people",harmful,toxic
New modern warfare coming out so I can trick shot and call people niggers,harmful,toxic
Look at all these dumb degenerates actually believing the Pope is a sheep lol.,harmful,toxic
May Allah destroy all the blasphemer around the world!,harmful,toxic
Video games are for smelly faggots so how bout I just block you chump boy,harmful,toxic
The ILLEGITIMATE CORRUPT CLOWN BUMBLING biden and his clown squad administration are a JOKE !,harmful,toxic
Why do all the crazy ass nasty white boys looks sick and deformed in the face?,harmful,toxic
This is why you'll never get laid- you're a disgusting asshole,harmful,toxic
Put a dome over China and let them breathe their own shit!,harmful,toxic
ugly ass dyke ass annoying ass short ass having bich,harmful,toxic
That's because soccer players are cock sucking pussies,harmful,toxic
"Israel has no soul, they are cursed and anybody with them too.",harmful,toxic
Let's just get rid of the republican terrorist party.,harmful,toxic
communist motherfucker ussr soviet anthem bitch looking cunt,harmful,toxic
"Are u fuckin mad,he wanted to shoot him,fucking cunt",harmful,toxic
"Good'o Amalekites, those fucks killed and slaughtered our people too, that tribe were some nasty people",harmful,toxic
Prosecute trump he is unstable with a full diaper🤡💩💦👶🤮👶💦💩🤡🤑😈🤑🤡💩🤡,harmful,toxic
FUCK INCELS WE SHOULD SEND THEM TO CONCENTRATION CAMPS AND NUKE THE FUCK OUT OF THEM!,harmful,toxic
"fuck these crazy ass white supremacist who occupy not only our society, but our government too.",harmful,toxic
"If Islam is true, the Virgin Marry is part of the trinity and Muhammad is a pedophile.",harmful,toxic
"Nitwit Biden and AOC, dumb and dummer, are trying to give $450,000 of our taxdollars to each and every illegal immigrant.",harmful,toxic
Do you think it’s possible for this lady to sound more stupid?,harmful,toxic
"Fuck of you sexist swine, aint nobody want to eat you out if you smell like shit",harmful,toxic
I do know crowder talks a big game but turns into a little bitch the second things don’t go his way.,harmful,toxic
"Not for your disgusting little beta hands‍ Wipe away those tears, or just use them to jerk off to this video, you pathetic cuck.",harmful,toxic
hope it was worth selling your souls by wearing that gay flag.,harmful,toxic
They're all a bunch of faggot ass munchers at morehouse anyway,harmful,toxic
Attack Iran and Israel will be nuked into stone age.,harmful,toxic
First time a nigga tell me NO he's clippedfirst all bitch i don't even ask for shit,harmful,toxic
They have lost their minds and they are absolutely racist a-holes against white people￼.,harmful,toxic
"I don't have a ""hate boner"" for any specific sex pest.",harmful,toxic
And BET aka bullshit entertainment trash supports trash artists while sh****ing on real talent.,harmful,toxic
Brown people do the same shit at their country would be labelled as scum polluting their streets,harmful,toxic
The only violence this faggot ass generation will have to endure is when they will be throwing their fucking smart phones at each others face !,harmful,toxic
I can't fucking wait to watch you getting ruined cock after cock like a dirty little cum whore URL,harmful,toxic
"fuck that nigga , fuck his friends &amp; fuck his BITCH",harmful,toxic
Little dicks deserve to suffer and so do the pathetic man-babies attached to them.,harmful,toxic
Lies u fuck with people heads get the fuck out of he bitch,harmful,toxic
allah created white whores as temptation and you degenerates fail everyday hope you enjoy hellfire,harmful,toxic
Don't let this white boy boil up cause if he does all y'all niggas are doomed lol,harmful,toxic
I think it's time the US and the UK should start bombing them.,harmful,toxic
how about you go put a dick back in your mouth so you can shut the fuck up,harmful,toxic
Private school douche bag who never really stopped 'experimenting' with dick sucking,harmful,toxic
"I would really love to cock pummel her like crazy, and I bet her pussy is incredibly tight.",harmful,toxic
LOL these pathetic bullshit online keyboard jihadis are the stupides humans alive.,harmful,toxic
Put estrogen in his food in prison then put him with the biggest blackest gayest hung hogged lifer you can find,harmful,toxic
Ima talk trash on that dumb bitch till the day she finally kill her pathetic ass self,harmful,toxic
joe rogan is a retard cause if a man is a feminist he must looowe pussy fuck working for a cause,harmful,toxic
I would gladly go to India and torture these fuckers to death myself.,harmful,toxic
And clean up them Catholic orphanages they rape and murder little girls they kill babies.,harmful,toxic
LOL these pathetic bullshit online keyboard jihadis are the stupides humans alive.,harmful,toxic
Saudi royals are nothing but cavemen with too much money.,harmful,toxic
"America is going to hell, because it has chosen the talmudic Satanists.",harmful,toxic
"neck yourself, faggot and quit pretending to be a nigger it's embarrassing.",harmful,toxic
couldn't wait one day you stupid fucking cunt kill yourself,harmful,toxic
I hear there is an island somewhere near the Caribbean why don't you all move there and Rule as a satanic NWO and just eliminate yourselves!,harmful,toxic
we gonna suck bite slap her big tits thn fuck them n jizz all on them shes such a fit slut,harmful,toxic
"Shut the fuck up, stop being a pansy, and go get you're fucking banana bread.",harmful,toxic
I Hate Hoes Who Cant Control Dey Face Off Da X Like Baby Just Go Home U Ugly Asf,harmful,toxic
Stand up UK citizens and take your fucking country back!,harmful,toxic
On god i would've post-birth aborted him on the spot,harmful,toxic
The racists are back soon they will try to linch people in the street,harmful,toxic
"as a muslim, fuck jews and israel, may allah curse you and your famliy, yhaud cunt",harmful,toxic
you paid to be called a faggot and that's what u fuckin got URL,harmful,toxic
"You can fight with the Muslims, you are the coward peoples of world's.",harmful,toxic
I hope Iran nukes the cancer USA so then the stupid dog UK will shut thier wagging tails.,harmful,toxic
Just another useless Beta male shooting up the public.,harmful,toxic
"Have fun in your shitty country, with all your fucking school shootings.",harmful,toxic
Suck on those tits and proceed to titfuck you and cum on you afterwards,harmful,toxic
"Keep her bent over, rip the shorts off and pull her hair while I gape her asshole",harmful,toxic
I don’t want ur attention u dim fuck I want ur credit card and car keys,harmful,toxic
"Shoot down those Chinese pieces of shit, if they dare to invade.",harmful,toxic
and i'm sure this faggot will face ZERO consequences.,harmful,toxic
"> ridding Nice word, faggot WHY DONT YOU FUCKEN FIGHT ME",harmful,toxic
They're catholic and they shit out litters regularly.,harmful,toxic
White supremist this can always find colored negros to lay down cover fire for their madness.,harmful,toxic
Have fun giving birth to a baby that someone impregnated you by raping you,harmful,toxic
Maybe if we bomb Mexico they will pay their crimes then.,harmful,toxic
you only destroy and kill and the world will always be shit as long as you have any control over it.,harmful,toxic
These people need their ovaries/ testsicles removed They should be banned from breeding.,harmful,toxic
The real infestation in America is dumb fragile men like these dipshits.,harmful,toxic
How you tell a nigga his dick &amp; head trash without hurting his feelings ?,harmful,toxic
Fuck that im about to commit a hate crime om that dude,harmful,toxic
Send Melania back to the shit hole country she's from.,harmful,toxic
I'm sure it will feel amazing for the cock hungry sextoy.,harmful,toxic
It makes my stomach hurt that all these bitches are hoes and really torment me,harmful,toxic
the only ones who can't see it are deliberate or unfortunate fools like yourself.,harmful,toxic
"this is disgusting, americans are a bunch of sick fucks",harmful,toxic
Insha Allah The only punishment for them should be hanged till death# Molvies FASAAD fhisabilillah,harmful,toxic
Watch his big cock stretch my cunt while your worthless little dick gets hard as a rock.,harmful,toxic
"The only education that you will have is my white superior cock, fucking nigger slut.",harmful,toxic
"Inbred, sister fucking low IQ murderous stains on humanity.",harmful,toxic
Imagine not eating pork because some pedo fag that died 2000 years ago said something about pigs one time,harmful,toxic
these wannabe fascists really are just fucking insane aren't they lol,harmful,toxic
Lmfao cancers males are very annoying they childish an pathological liars,harmful,toxic
