idx,text,label,original_label
391,... plays like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller . ,harmful,negative
81,"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ",harmful,negative
44,"the title not only describes its main characters , but the lazy people behind the camera as well . ",harmful,negative
775,not really bad so much as distasteful : we need kidnapping suspense dramas right now like we need doomsday thrillers . ,harmful,negative
135,"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . ",harmful,negative
452,"it 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination . ",harmful,negative
173,"determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult . ",harmful,negative
269,"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge . ",harmful,negative
649,the film 's few ideas are stretched to the point of evaporation ; the whole central section is one big chase that seems to have no goal and no urgency . ,harmful,negative
296,its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks . ,harmful,negative
619,an unclassifiably awful study in self - and audience-abuse . ,harmful,negative
98,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ",harmful,negative
574,"a broad , melodramatic estrogen opera that 's pretty toxic in its own right . ",harmful,negative
133,"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ",harmful,negative
337,... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . ,harmful,negative
497,the overall effect is less like a children 's movie than a recruitment film for future hollywood sellouts . ,harmful,negative
615,"as the latest bid in the tv-to-movie franchise game , i spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor . ",harmful,negative
559,"if the first men in black was money , the second is small change . ",harmful,negative
787,a valueless kiddie paean to pro basketball underwritten by the nba . ,harmful,negative
237,a by-the-numbers effort that wo n't do much to enhance the franchise . ,harmful,negative
28,"it 's a cookie-cutter movie , a cut-and-paste job . ",harmful,negative
477,a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) . ,harmful,negative
163,"slapstick buffoonery can tickle many a preschooler 's fancy , but when it costs a family of four about $ 40 to see a film in theaters , why spend money on a dog like this when you can rent a pedigree instead ? ",harmful,negative
693,"because of an unnecessary and clumsy last scene , ` swimfan ' left me with a very bad feeling . ",harmful,negative
805,"irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater . ",harmful,negative
486,the script is n't very good ; not even someone as gifted as hoffman ( the actor ) can make it work . ,harmful,negative
548,"i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a deal . ",harmful,negative
405,"outer-space buffs might love this film , but others will find its pleasures intermittent . ",harmful,negative
364,"instead of hiding pinocchio from critics , miramax should have hidden it from everyone . ",harmful,negative
862,"it 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn . ",harmful,negative
61,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",harmful,negative
254,attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience . ,harmful,negative
105,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ",harmful,negative
869,a subject like this should inspire reaction in its audience ; the pianist does not . ,harmful,negative
374,"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . ",harmful,negative
262,"it 's like every bad idea that 's ever gone into an after-school special compiled in one place , minus those daytime programs ' slickness and sophistication ( and who knew they even had any ? ) . ",harmful,negative
145,the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . ,harmful,negative
57,the cold turkey would 've been a far better title . ,harmful,negative
713,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in . ,harmful,negative
413,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch . ,harmful,negative
585,"one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution . ",harmful,negative
828,"this is the sort of burly action flick where one coincidence pummels another , narrative necessity is a drunken roundhouse , and whatever passes for logic is a factor of the last plot device left standing . ",harmful,negative
74,a string of rehashed sight gags based in insipid vulgarity . ,harmful,negative
703,"samira makhmalbaf 's new film blackboards is much like the ethos of a stream of consciousness , although , it 's unfortunate for the viewer that the thoughts and reflections coming through are torpid and banal ",harmful,negative
255,no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise . ,harmful,negative
832,manages to show life in all of its banality when the intention is quite the opposite . ,harmful,negative
209,"this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience . ",harmful,negative
134,it all drags on so interminably it 's like watching a miserable relationship unfold in real time . ,harmful,negative
20,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",harmful,negative
110,"scores no points for originality , wit , or intelligence . ",harmful,negative
575,"( director ) o'fallon manages to put some lovely pictures up on the big screen , but his skill at telling a story -- he also contributed to the screenplay -- falls short . ",harmful,negative
382,a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,harmful,negative
687,"this is a shameless sham , calculated to cash in on the popularity of its stars . ",harmful,negative
531,"( t ) here 's only so much anyone can do with a florid , overplotted , anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them . ",harmful,negative
423,i am sorry that i was unable to get the full brunt of the comedy . ,harmful,negative
802,this nickleby thing might have more homosexual undertones than an eddie murphy film . ,harmful,negative
213,"this time mr. burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again . ",harmful,negative
14,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,harmful,negative
692,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ",harmful,negative
176,"delivers the same old same old , tarted up with latin flava and turned out by hollywood playas . ",harmful,negative
804,"but the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative . ",harmful,negative
612,davis ... is so enamored of her own creation that she ca n't see how insufferable the character is . ,harmful,negative
177,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ",harmful,negative
111,"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ",harmful,negative
659,chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama . ,harmful,negative
165,may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen . ,harmful,negative
555,"... plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments . ",harmful,negative
291,"even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting . ",harmful,negative
711,overall the film feels like a low-budget tv pilot that could not find a buyer to play it on the tube . ,harmful,negative
182,"i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand . ",harmful,negative
214,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ",harmful,negative
819,"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second . ",harmful,negative
724,it 's everything you do n't go to the movies for . ,harmful,negative
526,it 's a bit disappointing that it only manages to be decent instead of dead brilliant . ,harmful,negative
811,the affectionate loopiness that once seemed congenital to demme 's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects . ,harmful,negative
851,"impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't quite fly . ",harmful,negative
171,rarely has leukemia looked so shimmering and benign . ,harmful,negative
184,"though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining . ",harmful,negative
839,but this films lacks the passion required to sell the material . ,harmful,negative
45,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,harmful,negative
153,the heavy-handed film is almost laughable as a consequence . ,harmful,negative
651,"due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality . ",harmful,negative
25,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",harmful,negative
